Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,5080199,40608,0,608652.02,1050013,2945381
2001,5749266,55432,0,1023053.6,931726.83,2626765
2002,5751174,110040,0,491148.83,1041009,2420544
2003,6217928,133728,0,1044432.67,974385,2398582
2004,6600910,201282,0,741644.3,1055323,2339350
2005,6763847,297765,0,462134.67,959106,2237334
2006,6950808,352784,0,701261.97,1001172,2239027
2007,7204906,396617,0,923716.38,907484,2082970
2008,7012970,480157,0,415832.62,1047775,1730364
2009,6703397,660034,0,422463.8,932909,1509370
2010,6886744,719019,0,911566.49,999966,1169295
2011,6571709,773017,62869,689068.83,976610,885501.9
2012,6011177,985463,70778,428501,1011046,750151
2013,5573366,1107533,72814,573467,0,483032
2014,5235001,1071803,72658,827471,0,498299
